v(g),n,v,l,d,i,e,t,n1,n2,N1,N2,result
8,99,465.3435321,0.04,24.55,18.96,11422.07,634.56,15,11,63,36,1
2,16,59.20703549,0.24,4.08,14.5,241.76,13.43,7,6,9,7,1
3,95,502.1132108,0.08,12.32,40.76,6186.03,343.67,14,25,51,44,1
4,73,330.2200228,0.03,32,10.32,10567.04,587.06,16,7,45,28,1
6,75,339.2671467,0.04,23.33,14.54,7916.23,439.79,14,9,45,30,1
10,97,396.4838956,0.02,43.2,9.18,17128.1,951.56,12,5,61,36,1
11,128,651.1952437,0.03,37.14,17.53,24187.25,1343.74,20,14,76,52,1
3,95,502.1132108,0.08,12.32,40.76,6186.03,343.67,14,25,51,44,1
2,19,70.30835464,0.19,5.25,13.39,369.12,20.51,7,6,10,9,1
5,116,574.686772,0.03,33.23,17.29,19097.28,1060.96,18,13,68,48,1
3,52,238.41805,0.14,6.9,34.55,1645.08,91.39,9,15,29,23,1
4,48,222.9050971,0.18,5.63,39.63,1253.84,69.66,9,16,28,20,1
4,50,235.0219859,0.18,5.56,42.28,1306.45,72.58,9,17,29,21,1
14,364,2215.836474,0.02,50.45,43.92,111794.23,6210.79,26,42,201,163,1
13,292,1909.434373,0.04,22.9,83.4,43717.5,2428.75,26,67,174,118,1
5,223,1338,0.06,16.07,83.25,21503.57,1194.64,15,49,118,105,1
2,43,188.8696492,0.12,8.64,21.87,1631.15,90.62,10,11,24,19,1
9,260,1577.18319,0.03,29.02,54.34,45774.99,2543.06,24,43,156,104,1
8,205,1195.742453,0.04,27.06,44.19,32355.38,1797.52,23,34,125,80,1
10,269,1459.665219,0.03,30.81,47.37,44979.31,2498.85,16,27,165,104,1
20,349,2061.504818,0.02,64.31,32.04,132580.53,7365.58,28,32,202,147,1
5,143,721.3483591,0.05,18.57,38.84,13396.47,744.25,12,21,78,65,1
3,97,485,0.09,11.63,41.7,5641.32,313.41,13,19,63,34,1
3,41,180.0850143,0.11,9.33,19.29,1680.79,93.38,12,9,27,14,1
3,105,534.1835983,0.09,11.76,45.42,6283.02,349.06,13,21,67,38,1
5,91,427.7400144,0.05,22,19.44,9410.28,522.78,13,13,47,44,1
6,169,953.8116961,0.05,18.29,52.16,17443.19,969.07,17,33,98,71,1
31,1229,7582.837827,0.01,91.2,83.15,691554.81,38419.71,27,45,925,304,1
4,137,792.0462808,0.1,9.9,79.97,7845.03,435.83,13,42,73,64,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
1,27,110.3614967,0.24,4.2,26.28,463.52,25.75,7,10,15,12,1
2,20,78.13781191,0.22,4.5,17.36,351.62,19.53,9,6,14,6,1
8,149,787.5249306,0.05,20,39.38,15750.5,875.03,15,24,85,64,1
2,84,434.2737001,0.11,9.25,46.95,4017.03,223.17,12,24,47,37,1
2,84,430.8597734,0.1,9.65,44.64,4158.72,231.04,12,23,47,37,1
6,76,357.2334186,0.05,20.45,17.46,7307.05,405.95,15,11,46,30,1
21,179,965.2248187,0.03,34.5,27.98,33300.26,1850.01,23,19,122,57,1
9,198,1154.912223,0.03,30.86,37.43,35639.87,1979.99,25,32,119,79,1
2,86,433.8178943,0.08,13.33,32.54,5784.24,321.35,15,18,54,32,1
11,143,775.9558599,0.03,31.05,24.99,24093.43,1338.52,23,20,89,54,1
27,581,3549.052709,0.02,60.15,59,213471.74,11859.54,22,47,324,257,1
7,72,363.1963766,0.06,15.6,23.28,5665.86,314.77,18,15,46,26,1
12,70,346.7937417,0.07,14.57,23.8,5053.28,280.74,17,14,46,24,1
1,17,62.90747521,0.21,4.8,13.11,301.96,16.78,8,5,11,6,1
3,56,274.7858734,0.11,8.79,31.25,2416.5,134.25,13,17,33,23,1
2,77,353.0421126,0.05,18.33,19.26,6472.44,359.58,15,9,55,22,1
2,89,418.3391349,0.04,22.4,18.68,9370.8,520.6,16,10,61,28,1
2,89,413.3032009,0.06,17.82,23.2,7364.31,409.13,14,11,61,28,1
4,111,582.519954,0.05,19.5,29.87,11359.14,631.06,19,19,72,39,1
2,86,448.0129894,0.08,13.33,33.6,5973.51,331.86,16,21,51,35,1
4,100,535.7552005,0.08,12.4,43.19,6645.43,369.19,15,26,57,43,1
7,62,307.1601712,0.11,9.39,32.72,2883.89,160.22,13,18,36,26,1
1,13,43.18506523,0.5,2,21.59,86.37,4.8,4,6,7,6,1
5,132,711.7858998,0.05,20,35.59,14235.72,790.87,20,22,88,44,1
8,129,620.1487849,0.04,27.33,22.69,16950.73,941.71,16,12,88,41,1
7,121,581.6899456,0.04,24.67,23.58,14348.35,797.13,16,12,84,37,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
18,216,1149.536468,0.02,51.33,22.39,59009.54,3278.31,22,18,132,84,1
4,82,406.2440975,0.06,17.6,23.08,7149.9,397.22,16,15,49,33,1
22,345,2062.161574,0.04,23.91,86.26,49298.55,2738.81,15,48,192,153,1
2,17,62.90747521,0.18,5.6,11.23,352.28,19.57,8,5,10,7,1
2,22,81.4096738,0.26,3.86,21.11,314.01,17.44,6,7,13,9,1
9,110,539.7579655,0.06,17,31.75,9175.89,509.77,15,15,76,34,1
9,103,540.5365339,0.05,22.22,24.32,12011.92,667.33,20,18,63,40,1
10,382,2349.2034,0.02,41.31,56.87,97048.2,5391.57,26,45,239,143,1
1,7,19.65148445,0.5,2,9.83,39.3,2.18,4,3,4,3,1
7,54,262.3309737,0.07,13.46,19.49,3530.54,196.14,17,12,35,19,1
8,108,578.6156165,0.05,19.95,29,11543.38,641.3,21,20,70,38,1
10,120,638.6313714,0.03,28.72,22.23,18342.91,1019.05,22,18,73,47,1
18,238,1400.069046,0.03,28.75,48.7,40251.99,2236.22,23,36,148,90,1
16,189,1027.132122,0.02,48.03,20.94,48310.12,2683.9,23,17,122,71,1
7,113,616.9157729,0.04,22.5,27.42,13880.6,771.14,22,22,68,45,1
8,129,712.5394923,0.04,26,27.41,18526.03,1029.22,23,23,77,52,1
6,94,496.8278086,0.05,18.95,26.22,9413.58,522.98,20,19,58,36,1
16,226,1233.831546,0.03,39.72,31.07,49004.57,2722.48,21,23,139,87,1
35,498,2202.663226,0.02,51.27,62.26,163640.68,9091.15,26,46,210,147,1
34,333,1462.641702,0.01,104,14.06,152114.74,8450.82,14,7,229,104,1
11,235,1290.585478,0.07,14.56,88.65,18789.41,1043.85,11,34,145,90,1
5,47,225.9456813,0.11,9,25.11,2033.51,112.97,14,14,29,18,1
4,41,187.9834625,0.11,9,20.89,1691.85,93.99,12,12,23,18,1
7,84,434.2737001,0.06,17.5,24.82,7599.79,422.21,18,18,49,35,1
2,39,171.3003795,0.1,10,17.13,1713,95.17,12,9,24,15,1
3,68,333.6685605,0.13,7.82,42.69,2607.88,144.88,11,19,41,27,1
5,51,233.8330875,0.06,15.83,14.77,3702.36,205.69,15,9,32,19,1
3,22,83.76180829,0.16,6.3,13.3,527.7,29.32,9,5,15,7,1
4,51,224.0081886,0.07,15.33,14.61,3434.79,190.82,12,9,28,23,1
25,456,2813.485801,0.02,49.5,56.84,139267.55,7737.09,24,48,258,198,1
6,65,315.7687647,0.07,13.93,22.67,4398.21,244.34,15,14,39,26,1
8,72,360,0.08,13.24,27.2,4764.71,264.71,15,17,42,30,1
9,216,1275.888369,0.03,33.21,38.41,42377.72,2354.32,25,35,123,93,1
9,125,669.6940006,0.03,30.35,22.06,20327.18,1129.29,24,17,82,43,1
11,245,1453.030648,0.05,21.71,66.92,31551.52,1752.86,19,42,149,96,1
6,117,653.4406126,0.12,8.67,75.4,5663.15,314.62,12,36,65,52,1
8,299,1678.798243,0.02,58.83,28.54,98758.54,5486.59,23,26,166,133,1
4,67,335,0.07,14,23.93,4690,260.56,16,16,39,28,1
11,232,1335.133901,0.04,22.75,58.69,30374.3,1687.46,18,36,141,91,1
1,10,25.84962501,0.67,1.5,17.23,38.77,2.15,3,3,7,3,1
3,23,95.90827503,0.14,7.07,13.56,678.21,37.68,11,7,14,9,1
7,86,404.2378158,0.07,13.93,29.01,5632.38,312.91,11,15,48,38,1
19,431,2419.939943,0.03,39.52,61.24,95624.29,5312.46,16,33,268,163,1
1,11,34.86917502,0.4,2.5,13.95,87.17,4.84,5,4,7,4,1
2,14,48.43204266,0.23,4.38,11.07,211.89,11.77,7,4,9,5,1
4,137,708.2797252,0.06,17.86,39.66,12647.85,702.66,15,21,87,50,1
12,160,920.7820003,0.05,19.73,46.68,18164.52,1009.14,21,33,98,62,1
1,18,66.60791493,0.36,2.81,23.68,187.33,10.41,5,8,9,9,1
1,14,46.50699333,0.5,2,23.25,93.01,5.17,4,6,8,6,1
1,14,46.50699333,0.5,2,23.25,93.01,5.17,4,6,8,6,1
13,309,1725.753413,0.02,58.15,29.68,100356.31,5575.35,25,23,202,107,1
8,264,1432.533895,0.02,56.21,25.49,80523.48,4473.53,24,19,175,89,1
4,112,579.0316002,0.07,13.57,42.69,7854.69,436.37,13,23,64,48,1
4,108,589.6186148,0.04,26,22.68,15330.08,851.67,26,18,72,36,1
7,146,771.668724,0.07,15,51.44,11575.03,643.06,13,26,86,60,1
40,1098,7648.431145,0.01,90.63,84.39,693194.02,38510.78,38,87,683,415,1
12,136,789.8002694,0.05,18.38,42.98,14512.58,806.25,24,32,87,49,1
15,192,1035.324945,0.08,11.86,87.27,12282.72,682.37,9,33,105,87,1
22,304,1679.162835,0.02,54.08,31.05,90814.72,5045.26,22,24,186,118,1
12,202,1203.93968,0.03,34.15,35.08,40908.48,2272.69,27,34,117,86,1
1,11,34.86917502,0.32,3.12,11.16,108.97,6.05,5,4,6,5,1
2,61,286.7268228,0.11,8.75,32.77,2508.86,139.38,10,16,33,28,1
3,73,385.834362,0.09,11.2,34.44,4323.1,240.17,17,22,44,29,1
4,53,254.7898109,0.08,12.12,21.03,3086.88,171.49,15,13,32,21,1
3,42,199.7052751,0.09,11.64,17.16,2323.84,129.1,16,11,26,16,1
7,162,770.2917754,0.04,27.2,28.32,20951.94,1164,12,15,94,68,1
1,66,289.8929499,0.11,9.38,30.92,2717.75,150.99,9,12,41,25,1
1,26,89.94522208,0.14,7,12.85,629.62,34.98,7,4,18,8,1
24,231,1253.467158,0.02,49.24,25.46,61718.34,3428.8,22,21,137,94,1
8,71,344.9166507,0.05,18.42,18.73,6352.21,352.9,17,12,45,26,1
5,834,5427.50073,0.03,37.4,145.12,202995.67,11277.54,15,76,455,379,1
2,486,3338.997254,0.06,17.82,187.35,59506.88,3305.94,16,101,261,225,1
5,243,1429.482261,0.05,20.09,71.14,28722.62,1595.7,16,43,135,108,1
8,156,866.5158609,0.03,32.1,26.99,27818.77,1545.49,23,24,89,67,1
9,693,4662.448875,0.03,35.93,129.78,167499.82,9305.55,19,87,364,329,1
2,1186,8191.572246,0.02,43.85,186.83,359168.94,19953.83,16,104,616,570,1
3,1237,9296.9207,0.03,29.78,312.17,276879.2,15382.18,18,165,691,546,1
1,468,2828.776448,0.05,18.75,150.87,53039.56,2946.64,10,56,258,210,1
94,1756,12727.36071,0.01,71.81,177.24,913945.71,50774.76,26,126,1060,696,1
5,842,5466.140307,0.03,38.3,142.72,209353.17,11630.73,15,75,459,383,1
1,1396,9691.750249,0.03,29.66,326.75,287464.24,15970.24,11,112,792,604,1
4,317,1612.725721,0.02,45.85,35.17,73943.47,4107.97,14,20,186,131,1
1,565,3427.340393,0.05,18.37,186.54,62970.12,3498.34,8,59,294,271,1
2,260,1624.461153,0.07,14.34,113.29,23292.68,1294.04,14,62,133,127,1
3,61,307.7080413,0.13,8,38.46,2461.66,136.76,12,21,33,28,1
7,172,970.7432646,0.03,36.5,26.6,35432.13,1968.45,25,25,99,73,1
2,66,317.2854249,0.1,9.71,32.68,3079.54,171.09,11,17,36,30,1
2,66,320.6267457,0.11,9.17,34.98,2939.08,163.28,11,18,36,30,1
5,840,5479.792043,0.03,37.21,147.28,203890.96,11327.28,15,77,458,382,1
1,141,734.5329246,0.18,5.47,134.31,4016.98,223.17,5,32,71,70,1
1,32,135.9336804,0.29,3.46,39.27,470.54,26.14,6,13,17,15,1
5,110,593.1549165,0.09,10.98,54.01,6514.48,361.92,13,29,61,49,1
26,297,1795.185053,0.03,32.09,55.94,57612.92,3200.72,23,43,177,120,1
6,154,855.4066832,0.03,33.39,25.62,28563.14,1586.84,24,23,90,64,1
6,153,757.9920355,0.04,26.35,28.76,19975.32,1109.74,14,17,89,64,1
9,2057,15427.18299,0.02,55.06,280.16,849494.97,47194.17,19,162,1118,939,1
2,138,734.4260771,0.1,9.73,75.51,7142.89,396.83,9,31,71,67,1
5,842,5466.140307,0.03,38.3,142.72,209353.17,11630.73,15,75,459,383,1
5,852,5544.641033,0.03,38.29,144.81,212301.39,11794.52,15,76,464,388,1
6,1540,11205.23158,0.02,44.35,252.67,496927.66,27607.09,17,138,820,720,1
5,842,5479.563087,0.03,37.8,144.98,207105.85,11505.88,15,76,459,383,1
5,897,5893.160481,0.03,38.06,154.83,224308.42,12461.58,15,80,491,406,1
23,1793,13570.48586,0.02,65.16,207.25,879854.82,48880.82,26,160,966,834,1
3,213,1296.629585,0.13,7.5,172.88,9724.72,540.26,10,58,126,87,1
3,422,2690.26664,0.05,19.99,134.61,53766.34,2987.02,14,69,225,197,1
2,661,4456.109678,0.03,33.1,134.61,147512.6,8195.13,20,87,373,288,1
7,643,4005.130418,0.03,36.63,109.36,146687.9,8149.33,15,60,350,293,1
5,840,5479.792043,0.03,37.21,147.28,203890.96,11327.28,15,77,458,382,1
1,365,2273.518822,0.1,10.45,217.61,23753.18,1319.62,8,67,190,175,1
2,40,166.7970001,0.15,6.8,24.53,1134.22,63.01,8,10,23,17,1
7,170,944.2801048,0.03,28.6,33.02,27006.41,1500.36,22,25,105,65,1
6,117,626.8335845,0.04,25.2,24.87,15796.21,877.57,21,20,69,48,1
10,127,656.5804752,0.06,17.5,37.52,11490.16,638.34,14,22,72,55,1
5,68,326.9001347,0.1,9.71,33.68,3172.85,176.27,11,17,38,30,1
2,29,123.1898979,0.21,4.73,26.06,582.35,32.35,8,11,16,13,1
1,140,768.8594335,0.09,11.17,68.82,8589.6,477.2,13,32,85,55,1
3,139,780.4446683,0.08,13.01,59.97,10157.26,564.29,15,34,80,59,1
3,434,2803.393322,0.05,21.99,127.51,61634.6,3424.14,18,70,263,171,1
7,86,430,0.08,12.66,33.97,5442.89,302.38,13,19,49,37,1
4,168,868.5474002,0.04,25.77,33.7,22384.84,1243.6,14,22,87,81,1
5,107,535,0.05,19.85,26.95,10621.32,590.07,15,17,62,45,1
4,62,294.8030251,0.1,10,29.48,2948.03,163.78,12,15,37,25,1
4,94,446.9594252,0.05,20.46,21.84,9145.48,508.08,14,13,56,38,1
18,296,1789.140659,0.03,35.14,50.91,62875.51,3493.08,24,42,173,123,1
3,30,117.2067179,0.12,8.25,14.21,966.96,53.72,9,6,19,11,1
1,7,19.65148445,0.33,3,6.55,58.95,3.28,6,1,6,1,1
4,137,724.100104,0.05,20.57,35.2,14895.77,827.54,18,21,89,48,1
2,27,112.587975,0.21,4.8,23.46,540.42,30.02,8,10,15,12,1
3,35,156.0801067,0.13,7.5,20.81,1170.6,65.03,11,11,20,15,1
3,46,218.7248251,0.11,9.29,23.55,2031.02,112.83,13,14,26,20,1
1,14,46.50699333,0.33,3,15.5,139.52,7.75,5,5,8,6,1
1,25,102.186571,0.1,9.6,10.64,980.99,54.5,12,5,17,8,1
2,28,118.9419704,0.19,5.4,22.03,642.29,35.68,9,10,16,12,1
11,211,1165.471573,0.03,38.04,30.64,44336.48,2463.14,22,24,128,83,1
1,8,22.45883938,0.27,3.75,5.99,84.22,4.68,5,2,5,3,1
9,216,1157.231233,0.03,38,30.45,43974.79,2443.04,19,22,128,88,1
5,66,302.607525,0.09,11.07,27.33,3350.3,186.13,10,14,35,31,1
5,41,174.1650281,0.14,6.91,25.21,1203.32,66.85,8,11,22,19,1
4,32,130.7988109,0.14,7.31,17.89,956.47,53.14,9,8,19,13,1
7,182,1070.641035,0.03,31.91,33.55,34163.18,1897.95,26,33,101,81,1
6,94,485.9729501,0.05,19.68,24.69,9565.99,531.44,17,19,50,44,1
14,335,2010,0.05,22.12,90.87,44461.2,2470.07,14,50,177,158,1
5,196,1076.403207,0.04,26.33,40.88,28345.28,1574.74,18,27,117,79,1
28,434,2531.474266,0.01,89.59,28.26,226792.97,12599.61,29,28,261,173,1
11,238,1220.769358,0.02,51.06,23.91,62335.54,3463.09,19,16,152,86,1
5,110,528.8090414,0.05,18.38,28.78,9716.87,539.83,12,16,61,49,1
22,409,2661.688008,0.04,25.77,103.27,68604.07,3811.34,20,71,226,183,1
3,90,457.8716557,0.09,11.2,40.88,5128.16,284.9,14,20,58,32,1
3,50,229.248125,0.11,9.5,24.13,2177.86,120.99,12,12,31,19,1
12,242,1416.43313,0.02,43.48,32.18,60836.25,3379.79,26,29,148,97,1
4,62,304.2272169,0.06,16,19.01,4867.64,270.42,16,14,34,28,1
2,56,260.0559466,0.08,12.09,21.51,3144.31,174.68,14,11,37,19,1
8,111,569.3504149,0.04,23.16,24.59,13184.02,732.45,19,16,72,39,1
2,16,57.35940001,0.24,4.2,13.66,240.91,13.38,7,5,10,6,1
12,131,743.0877198,0.06,16.77,44.3,12464.7,692.48,20,31,79,52,1
12,240,1504.02877,0.03,38.63,38.94,58093.11,3227.4,33,44,137,103,1
1,14,48.43204266,0.19,5.25,9.23,254.27,14.13,7,4,8,6,1
6,63,309.1341075,0.09,11.38,27.18,3516.4,195.36,14,16,37,26,1
1,5,11.60964047,0.67,1.5,7.74,17.41,0.97,3,2,3,2,1
1,104,515.2364163,0.24,4.13,124.62,2130.3,118.35,5,26,61,43,1
2,332,1754.753537,0.07,15,116.98,26321.3,1462.29,6,33,167,165,1
7,113,613.1679173,0.07,15.04,40.76,9223.07,512.39,19,24,75,38,1
2,86,433.8178943,0.08,13,33.37,5639.63,313.31,13,20,46,40,1
88,1865,14322.23039,0.01,67.29,212.86,963681.5,53537.86,30,175,1080,785,1
1,35,143.0611994,0.28,3.54,40.39,506.68,28.15,5,12,18,17,1
1,15,51.89147428,0.34,2.92,17.79,151.35,8.41,5,6,8,7,1
2,580,3746.470339,0.04,28.22,132.74,105742.77,5874.6,19,69,375,205,1
16,350,2083.968709,0.02,41.28,50.48,86030.5,4779.47,23,39,210,140,1
3,23,87.56916321,0.2,5,17.51,437.85,24.32,7,7,13,10,1
52,1334,9292.356236,0.01,99.31,93.57,922860.63,51270.04,39,86,896,438,1
22,445,2699.40969,0.02,63.88,42.26,172435.02,9579.72,34,33,321,124,1
4,71,361.2098617,0.09,11.45,31.55,4134.89,229.72,15,19,42,29,1
9,184,992.1864058,0.03,31.5,31.5,31253.87,1736.33,18,24,100,84,1
3,24,101.9502603,0.13,7.71,13.22,786.47,43.69,12,7,15,9,1
3,32,130.7988109,0.12,8.44,15.5,1103.61,61.31,9,8,17,15,1
1,13,44.97261104,0.33,3,14.99,134.92,7.5,6,5,8,5,1
7,41,185.4660402,0.08,12.44,14.9,2308.02,128.22,14,9,25,16,1
6,76,380,0.05,21.19,17.93,8053.08,447.39,19,13,47,29,1
5,148,835.2907161,0.05,18.28,45.69,15270.16,848.34,18,32,83,65,1
4,28,121.0139867,0.12,8.36,14.48,1011.33,56.19,13,7,19,9,1
14,317,2042.413088,0.05,19.42,105.18,39661.86,2203.44,19,68,178,139,1
8,198,1099.808593,0.03,39.2,28.05,43117.5,2395.42,25,22,129,69,1
20,382,2218.40958,0.02,49.48,44.83,109777.66,6098.76,23,33,240,142,1
46,845,5125.845366,0.01,92.65,55.32,474915.53,26384.2,24,43,513,332,1
8,142,779.8431397,0.05,20.46,38.11,15956.79,886.49,19,26,86,56,1
5,55,255.4120904,0.11,8.77,29.13,2239.77,124.43,12,13,36,19,1
2,50,232.1928095,0.16,6.19,37.53,1436.69,79.82,9,16,28,22,1
2,27,105.4860461,0.16,6.29,16.78,663.06,36.84,8,7,16,11,1
5,102,542.8366657,0.09,11.56,46.98,6272.78,348.49,13,27,54,48,1
2,30,125.09775,0.19,5.2,24.06,650.51,36.14,8,10,17,13,1
